area_code,area_name,area_unit,dimension,dimension_value,population_base,population
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,Other ethnic group,asc_eligible,191
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,Other ethnic group,published,974
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,White,asc_eligible,119145
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,White,published,274488
E06000011,East Riding of Yorkshire,Local Authority,gender,All,published,292861
E06000011,East Riding of Yorkshire,Local Authority,gender,Female,published,151171
E06000011,East Riding of Yorkshire,Local Authority,gender,Male,published,141690
E06000012,North East Lincolnshire,Local Authority,age_group,18 to 24,published,10621
E06000012,North East Lincolnshire,Local Authority,age_group,18 to 64,asc_eligible,17698
E06000012,North East Lincolnshire,Local Authority,age_group,18 to 64,published,91799
E06000012,North East Lincolnshire,Local Authority,age_group,25 to 44,published,39521
E06000012,North East Lincolnshire,Local Authority,age_group,45 to 64,published,41657
E06000012,North East Lincolnshire,Local Authority,age_group,65 and above,asc_eligible,32836
E06000012,North East Lincolnshire,Local Authority,age_group,65 and above,published,34590
E06000012,North East Lincolnshire,Local Authority,age_group,65 to 74,published,17579
E06000012,North East Lincolnshire,Local Authority,age_group,75 to 84,published,12289
E06000012,North East Lincolnshire,Local Authority,age_group,85 and above,published,4722
E06000012,North East Lincolnshire,Local Authority,age_group,All,asc_eligible,50534
E06000012,North East Lincolnshire,Local Authority,age_group,All,published,126389
E06000012,North East Lincolnshire,Local Authority,ethnicity,All,asc_eligible,50534
E06000012,North East Lincolnshire,Local Authority,ethnicity,All,published,123928
E06000012,North East Lincolnshire,Local Authority,ethnicity,Asian or Asian British,asc_eligible,310
E06000012,North East Lincolnshire,Local Authority,ethnicity,Asian or Asian British,published,1780
E06000012,North East Lincolnshire,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,100
E06000012,North East Lincolnshire,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,624
E06000012,North East Lincolnshire,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,221
E06000012,North East Lincolnshire,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,754
E06000012,North East Lincolnshire,Local Authority,ethnicity,Other ethnic group,asc_eligible,125
E06000012,North East Lincolnshire,Local Authority,ethnicity,Other ethnic group,published,721
E06000012,North East Lincolnshire,Local Authority,ethnicity,White,asc_eligible,49778
E06000012,North East Lincolnshire,Local Authority,ethnicity,White,published,120049
E06000012,North East Lincolnshire,Local Authority,gender,All,published,126389
E06000012,North East Lincolnshire,Local Authority,gender,Female,published,64915
E06000012,North East Lincolnshire,Local Authority,gender,Male,published,61474
E06000013,North Lincolnshire,Local Authority,age_group,18 to 24,published,10910
E06000013,North Lincolnshire,Local Authority,age_group,18 to 64,asc_eligible,17694
E06000013,North Lincolnshire,Local Authority,age_group,18 to 64,published,97395
E06000013,North Lincolnshire,Local Authority,age_group,25 to 44,published,40364
E06000013,North Lincolnshire,Local Authority,age_group,45 to 64,published,46121
E06000013,North Lincolnshire,Local Authority,age_group,65 and above,asc_eligible,37276
E06000013,North Lincolnshire,Local Authority,age_group,65 and above,published,39266
E06000013,North Lincolnshire,Local Authority,age_group,65 to 74,published,19997
E06000013,North Lincolnshire,Local Authority,age_group,75 to 84,published,14273
E06000013,North Lincolnshire,Local Authority,age_group,85 and above,published,4996
E06000013,North Lincolnshire,Local Authority,age_group,All,asc_eligible,54970
E06000013,North Lincolnshire,Local Authority,age_group,All,published,136661
E06000013,North Lincolnshire,Local Authority,ethnicity,All,asc_eligible,54970
E06000013,North Lincolnshire,Local Authority,ethnicity,All,published,135603
E06000013,North Lincolnshire,Local Authority,ethnicity,Asian or Asian British,asc_eligible,724
E06000013,North Lincolnshire,Local Authority,ethnicity,Asian or Asian British,published,4045
E06000013,North Lincolnshire,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,105
E06000013,North Lincolnshire,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,633
E06000013,North Lincolnshire,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,215
E06000013,North Lincolnshire,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,908
E06000013,North Lincolnshire,Local Authority,ethnicity,Other ethnic group,asc_eligible,131
E06000013,North Lincolnshire,Local Authority,ethnicity,Other ethnic group,published,971
E06000013,North Lincolnshire,Local Authority,ethnicity,White,asc_eligible,53795
E06000013,North Lincolnshire,Local Authority,ethnicity,White,published,129046
E06000013,North Lincolnshire,Local Authority,gender,All,published,136661
E06000013,North Lincolnshire,Local Authority,gender,Female,published,69883
E06000013,North Lincolnshire,Local Authority,gender,Male,published,66778
E06000014,York,Local Authority,age_group,18 to 24,published,33101
E06000014,York,Local Authority,age_group,18 to 64,asc_eligible,20424
E06000014,York,Local Authority,age_group,18 to 64,published,134325
E06000014,York,Local Authority,age_group,25 to 44,published,52797
E06000014,York,Local Authority,age_group,45 to 64,published,48427
E06000014,York,Local Authority,age_group,65 and above,asc_eligible,38732
E06000014,York,Local Authority,age_group,65 and above,published,40218
E06000014,York,Local Authority,age_group,65 to 74,published,19280
E06000014,York,Local Authority,age_group,75 to 84,published,14892
E06000014,York,Local Authority,age_group,85 and above,published,6046
E06000014,York,Local Authority,age_group,All,asc_eligible,59156
E06000014,York,Local Authority,age_group,All,published,174543
E06000014,York,Local Authority,ethnicity,All,asc_eligible,59156
E06000014,York,Local Authority,ethnicity,All,published,168085
E06000014,York,Local Authority,ethnicity,Asian or Asian British,asc_eligible,743
E06000014,York,Local Authority,ethnicity,Asian or Asian British,published,6526
E06000014,York,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,165
E06000014,York,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,1096
E06000014,York,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,492
E06000014,York,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,2292
E06000014,York,Local Authority,ethnicity,Other ethnic group,asc_eligible,216
E06000014,York,Local Authority,ethnicity,Other ethnic group,published,1536
E06000014,York,Local Authority,ethnicity,White,asc_eligible,57540
E06000014,York,Local Authority,ethnicity,White,published,156635
